# LAMMPS data file written by OVITO Basic 3.7.7
300 atoms
200 bonds
100 angles
2 atom types
1 bond types
1 angle types
0.277 143.024 xlo xhi
-0.037 143.375 ylo yhi
1.836 143.276 zlo zhi
 
Masses

1 15.9994  # O 
2 1.00794  # H

 
Atoms  # full
 
1 1 1 -1.1794 69.378 6.064 126.109
2 1 2 0.5897 69.715 6.611 126.876
3 1 2 0.5897 69.055 5.18 126.445
4 2 1 -1.1794 1.188 23.76 26.265
5 2 2 0.5897 0.654 24.062 25.475
6 2 2 0.5897 2.093 24.184 26.237
7 3 1 -1.1794 67.302 85.843 23.295
8 3 2 0.5897 67.669 84.961 22.999
9 3 2 0.5897 67.547 86.547 22.629
10 4 1 -1.1794 78.007 92.038 128.364
11 4 2 0.5897 78.4 91.326 128.946
12 4 2 0.5897 78.157 92.933 128.784
13 5 1 -1.1794 31.551 13.824 43.738
14 5 2 0.5897 31.711 12.838 43.805
15 5 2 0.5897 32.424 14.308 43.791
16 6 1 -1.1794 125.249 17.425 33.382
17 6 2 0.5897 125.886 17.116 32.675
18 6 2 0.5897 124.831 16.633 33.825
19 7 1 -1.1794 51.96 23.275 141.077
20 7 2 0.5897 52.693 23.272 141.757
21 7 2 0.5897 52.338 23.498 140.179
22 8 1 -1.1794 72.463 51.752 11.54
23 8 2 0.5897 73.156 52.033 10.875
24 8 2 0.5897 71.742 52.442 11.582
25 9 1 -1.1794 85.3 60.055 66.779
26 9 2 0.5897 84.401 59.902 67.189
27 9 2 0.5897 85.339 60.976 66.393
28 10 1 -1.1794 15.543 26.577 51.547
29 10 2 0.5897 16.453 26.293 51.852
30 10 2 0.5897 14.885 26.436 52.286
31 11 1 -1.1794 61.856 120.342 11.653
32 11 2 0.5897 61.791 120.862 10.801
33 11 2 0.5897 61.331 120.804 12.367
34 12 1 -1.1794 53.225 53.067 79.911
35 12 2 0.5897 52.474 53.725 79.971
36 12 2 0.5897 52.883 52.151 80.117
37 13 1 -1.1794 119.55 56.552 103.514
38 13 2 0.5897 118.722 56.563 102.953
39 13 2 0.5897 119.856 55.608 103.639
40 14 1 -1.1794 93.393 101.166 20.899
41 14 2 0.5897 94.038 101.677 20.33
42 14 2 0.5897 92.88 100.525 20.328
43 15 1 -1.1794 131.262 56.018 119.653
44 15 2 0.5897 131.405 55.791 120.617
45 15 2 0.5897 130.498 56.657 119.57
46 16 1 -1.1794 9.804 142.576 125.36
47 16 2 0.5897 9.229 143.375 125.535
48 16 2 0.5897 9.241 141.75 125.374
49 17 1 -1.1794 50.848 66.739 78.584
50 17 2 0.5897 51.239 65.832 78.425
51 17 2 0.5897 50.078 66.664 79.217
52 18 1 -1.1794 80.848 87.339 126.654
53 18 2 0.5897 81.822 87.495 126.818
54 18 2 0.5897 80.678 86.359 126.562
55 19 1 -1.1794 70.333 114.337 107.649
56 19 2 0.5897 70.657 115.262 107.849
57 19 2 0.5897 69.336 114.31 107.721
58 20 1 -1.1794 70.1 29.835 129.259
59 20 2 0.5897 69.549 29.007 129.367
60 20 2 0.5897 70.259 30.249 130.154
61 21 1 -1.1794 11.16 80.611 75.091
62 21 2 0.5897 11.269 80.618 74.097
63 21 2 0.5897 10.265 80.233 75.326
64 22 1 -1.1794 74.267 139.95 111.963
65 22 2 0.5897 74.965 140.397 111.403
66 22 2 0.5897 73.932 139.135 111.492
67 23 1 -1.1794 110.963 69.953 90.166
68 23 2 0.5897 110.221 69.686 90.781
69 23 2 0.5897 111.809 70.053 90.689
70 24 1 -1.1794 73.191 68.075 86.538
71 24 2 0.5897 72.731 67.886 87.405
72 24 2 0.5897 72.58 67.849 85.78
73 25 1 -1.1794 25.035 24.425 87.424
74 25 2 0.5897 24.612 23.819 86.75
75 25 2 0.5897 25.414 23.88 88.172
76 26 1 -1.1794 52.225 5.817 38.525
77 26 2 0.5897 52.794 6.576 38.843
78 26 2 0.5897 51.499 6.168 37.935
79 27 1 -1.1794 52.131 27.544 59.689
80 27 2 0.5897 51.791 28.46 59.476
81 27 2 0.5897 53.122 27.518 59.56
82 28 1 -1.1794 8.323 73.559 105.321
83 28 2 0.5897 8.914 72.753 105.359
84 28 2 0.5897 7.487 73.336 104.821
85 29 1 -1.1794 41.679 91.341 78.334
86 29 2 0.5897 42.472 90.902 78.758
87 29 2 0.5897 40.919 90.693 78.297
88 30 1 -1.1794 4.324 89.45 5.118
89 30 2 0.5897 3.847 90.329 5.116
90 30 2 0.5897 3.661 88.711 5.233
91 31 1 -1.1794 12.232 97.196 135.06
92 31 2 0.5897 12.179 96.952 134.091
93 31 2 0.5897 13.087 96.851 135.445
94 32 1 -1.1794 9.97 46.257 62.762
95 32 2 0.5897 10.946 46.411 62.607
96 32 2 0.5897 9.769 45.282 62.685
97 33 1 -1.1794 109.132 85.52 9.092
98 33 2 0.5897 109.51 84.791 9.664
99 33 2 0.5897 108.462 85.134 8.459
100 34 1 -1.1794 4.719 -0.037 132.742
101 34 2 0.5897 4.545 0.481 133.579
102 34 2 0.5897 4.687 0.58 131.956
103 35 1 -1.1794 44.822 124.017 115.801
104 35 2 0.5897 45.016 124.409 114.901
105 35 2 0.5897 45.457 123.267 115.982
